Year,Month,Decimal Year,Figure Reference,Sea_Area,Monthly_Average_Sea_Surface_Temperature_degrees_C
1997,1,1997.00,Figure 4.12,Clyde,7.48
1997,2,1997.08,Figure 4.12,Clyde,7.26
1997,3,1997.17,Figure 4.12,Clyde,7.40
1997,4,1997.25,Figure 4.12,Clyde,8.61
1997,5,1997.33,Figure 4.12,Clyde,10.17
1997,6,1997.42,Figure 4.12,Clyde,12.34
1997,7,1997.50,Figure 4.12,Clyde,14.00
1997,8,1997.58,Figure 4.12,Clyde,15.26
1997,9,1997.67,Figure 4.12,Clyde,14.30
1997,10,1997.75,Figure 4.12,Clyde,13.89
1997,11,1997.83,Figure 4.12,Clyde,12.56
1997,12,1997.92,Figure 4.12,Clyde,10.83
1998,1,1998.00,Figure 4.12,Clyde,9.39
1998,2,1998.08,Figure 4.12,Clyde,8.48
1998,3,1998.17,Figure 4.12,Clyde,8.24
1998,4,1998.25,Figure 4.12,Clyde,8.72
1998,5,1998.33,Figure 4.12,Clyde,10.62
1998,6,1998.42,Figure 4.12,Clyde,12.06
1998,7,1998.50,Figure 4.12,Clyde,13.56
1998,8,1998.58,Figure 4.12,Clyde,14.22
1998,9,1998.67,Figure 4.12,Clyde,14.75
1998,10,1998.75,Figure 4.12,Clyde,13.46
1998,11,1998.83,Figure 4.12,Clyde,11.56
1998,12,1998.92,Figure 4.12,Clyde,9.94
1999,1,1999.00,Figure 4.12,Clyde,8.35
1999,2,1999.08,Figure 4.12,Clyde,7.24
1999,3,1999.17,Figure 4.12,Clyde,7.10
1999,4,1999.25,Figure 4.12,Clyde,8.35
1999,5,1999.33,Figure 4.12,Clyde,10.24
1999,6,1999.42,Figure 4.12,Clyde,11.94
1999,7,1999.50,Figure 4.12,Clyde,14.24
1999,8,1999.58,Figure 4.12,Clyde,15.06
1999,9,1999.67,Figure 4.12,Clyde,14.79
1999,10,1999.75,Figure 4.12,Clyde,13.97
1999,11,1999.83,Figure 4.12,Clyde,12.32
1999,12,1999.92,Figure 4.12,Clyde,9.73
2000,1,2000.00,Figure 4.12,Clyde,7.83
2000,2,2000.08,Figure 4.12,Clyde,7.16
2000,3,2000.17,Figure 4.12,Clyde,7.13
2000,4,2000.25,Figure 4.12,Clyde,7.77
2000,5,2000.33,Figure 4.12,Clyde,10.09
2000,6,2000.42,Figure 4.12,Clyde,11.48
2000,7,2000.50,Figure 4.12,Clyde,13.73
2000,8,2000.58,Figure 4.12,Clyde,15.20
2000,9,2000.67,Figure 4.12,Clyde,15.10
2000,10,2000.75,Figure 4.12,Clyde,13.90
2000,11,2000.83,Figure 4.12,Clyde,11.59
2000,12,2000.92,Figure 4.12,Clyde,10.38
2001,1,2001.00,Figure 4.12,Clyde,8.64
2001,2,2001.08,Figure 4.12,Clyde,7.37
2001,3,2001.17,Figure 4.12,Clyde,6.87
2001,4,2001.25,Figure 4.12,Clyde,7.59
2001,5,2001.33,Figure 4.12,Clyde,10.08
2001,6,2001.42,Figure 4.12,Clyde,11.40
2001,7,2001.50,Figure 4.12,Clyde,13.74
2001,8,2001.58,Figure 4.12,Clyde,14.68
2001,9,2001.67,Figure 4.12,Clyde,14.32
2001,10,2001.75,Figure 4.12,Clyde,13.94
2001,11,2001.83,Figure 4.12,Clyde,12.38
2001,12,2001.92,Figure 4.12,Clyde,10.39
2002,1,2002.00,Figure 4.12,Clyde,8.61
2002,2,2002.08,Figure 4.12,Clyde,8.00
2002,3,2002.17,Figure 4.12,Clyde,7.67
2002,4,2002.25,Figure 4.12,Clyde,8.67
2002,5,2002.33,Figure 4.12,Clyde,10.27
2002,6,2002.42,Figure 4.12,Clyde,12.14
2002,7,2002.50,Figure 4.12,Clyde,13.77
2002,8,2002.58,Figure 4.12,Clyde,14.83
2002,9,2002.67,Figure 4.12,Clyde,14.82
2002,10,2002.75,Figure 4.12,Clyde,13.70
2002,11,2002.83,Figure 4.12,Clyde,11.93
2002,12,2002.92,Figure 4.12,Clyde,10.17
2003,1,2003.00,Figure 4.12,Clyde,8.37
2003,2,2003.08,Figure 4.12,Clyde,7.14
2003,3,2003.17,Figure 4.12,Clyde,7.20
2003,4,2003.25,Figure 4.12,Clyde,8.51
2003,5,2003.33,Figure 4.12,Clyde,10.15
2003,6,2003.42,Figure 4.12,Clyde,12.57
2003,7,2003.50,Figure 4.12,Clyde,14.43
2003,8,2003.58,Figure 4.12,Clyde,15.38
2003,9,2003.67,Figure 4.12,Clyde,15.13
2003,10,2003.75,Figure 4.12,Clyde,13.71
2003,11,2003.83,Figure 4.12,Clyde,11.99
2003,12,2003.92,Figure 4.12,Clyde,10.32
2004,1,2004.00,Figure 4.12,Clyde,8.73
2004,2,2004.08,Figure 4.12,Clyde,7.75
2004,3,2004.17,Figure 4.12,Clyde,7.60
2004,4,2004.25,Figure 4.12,Clyde,8.07
2004,5,2004.33,Figure 4.12,Clyde,10.15
2004,6,2004.42,Figure 4.12,Clyde,12.30
2004,7,2004.50,Figure 4.12,Clyde,13.94
2004,8,2004.58,Figure 4.12,Clyde,15.52
2004,9,2004.67,Figure 4.12,Clyde,14.84
2004,10,2004.75,Figure 4.12,Clyde,13.62
2004,11,2004.83,Figure 4.12,Clyde,12.18
2004,12,2004.92,Figure 4.12,Clyde,10.25
2005,1,2005.00,Figure 4.12,Clyde,8.26
2005,2,2005.08,Figure 4.12,Clyde,7.42
2005,3,2005.17,Figure 4.12,Clyde,7.30
2005,4,2005.25,Figure 4.12,Clyde,8.31
2005,5,2005.33,Figure 4.12,Clyde,9.76
2005,6,2005.42,Figure 4.12,Clyde,12.17
2005,7,2005.50,Figure 4.12,Clyde,14.28
2005,8,2005.58,Figure 4.12,Clyde,14.67
2005,9,2005.67,Figure 4.12,Clyde,14.83
2005,10,2005.75,Figure 4.12,Clyde,13.85
2005,11,2005.83,Figure 4.12,Clyde,12.64
2005,12,2005.92,Figure 4.12,Clyde,10.46
2006,1,2006.00,Figure 4.12,Clyde,8.63
2006,2,2006.08,Figure 4.12,Clyde,7.76
2006,3,2006.17,Figure 4.12,Clyde,7.13
2006,4,2006.25,Figure 4.12,Clyde,7.62
2006,5,2006.33,Figure 4.12,Clyde,9.56
2006,6,2006.42,Figure 4.12,Clyde,12.42
2006,7,2006.50,Figure 4.12,Clyde,14.53
2006,8,2006.58,Figure 4.12,Clyde,14.52
2006,9,2006.67,Figure 4.12,Clyde,15.10
2006,10,2006.75,Figure 4.12,Clyde,14.47
2006,11,2006.83,Figure 4.12,Clyde,12.88
2006,12,2006.92,Figure 4.12,Clyde,10.64
2007,1,2007.00,Figure 4.12,Clyde,8.98
2007,2,2007.08,Figure 4.12,Clyde,7.89
2007,3,2007.17,Figure 4.12,Clyde,7.87
2007,4,2007.25,Figure 4.12,Clyde,9.00
2007,5,2007.33,Figure 4.12,Clyde,10.71
2007,6,2007.42,Figure 4.12,Clyde,13.30
2007,7,2007.50,Figure 4.12,Clyde,14.24
2007,8,2007.58,Figure 4.12,Clyde,14.56
2007,9,2007.67,Figure 4.12,Clyde,14.45
2007,10,2007.75,Figure 4.12,Clyde,13.82
2007,11,2007.83,Figure 4.12,Clyde,12.36
2007,12,2007.92,Figure 4.12,Clyde,10.16
2008,1,2008.00,Figure 4.12,Clyde,8.61
2008,2,2008.08,Figure 4.12,Clyde,7.52
2008,3,2008.17,Figure 4.12,Clyde,7.23
2008,4,2008.25,Figure 4.12,Clyde,7.93
2008,5,2008.33,Figure 4.12,Clyde,10.49
2008,6,2008.42,Figure 4.12,Clyde,12.19
2008,7,2008.50,Figure 4.12,Clyde,13.39
2008,8,2008.58,Figure 4.12,Clyde,14.85
2008,9,2008.67,Figure 4.12,Clyde,14.67
2008,10,2008.75,Figure 4.12,Clyde,13.42
2008,11,2008.83,Figure 4.12,Clyde,11.35
2008,12,2008.92,Figure 4.12,Clyde,9.21
2009,1,2009.00,Figure 4.12,Clyde,7.79
2009,2,2009.08,Figure 4.12,Clyde,6.79
2009,3,2009.17,Figure 4.12,Clyde,6.95
2009,4,2009.25,Figure 4.12,Clyde,8.24
2009,5,2009.33,Figure 4.12,Clyde,9.93
2009,6,2009.42,Figure 4.12,Clyde,12.53
2009,7,2009.50,Figure 4.12,Clyde,14.23
2009,8,2009.58,Figure 4.12,Clyde,14.77
2009,9,2009.67,Figure 4.12,Clyde,14.78
2009,10,2009.75,Figure 4.12,Clyde,14.10
2009,11,2009.83,Figure 4.12,Clyde,12.64
2009,12,2009.92,Figure 4.12,Clyde,10.31
2010,1,2010.00,Figure 4.12,Clyde,8.00
2010,2,2010.08,Figure 4.12,Clyde,6.56
2010,3,2010.17,Figure 4.12,Clyde,6.74
2010,4,2010.25,Figure 4.12,Clyde,7.76
2010,5,2010.33,Figure 4.12,Clyde,9.48
2010,6,2010.42,Figure 4.12,Clyde,12.24
2010,7,2010.50,Figure 4.12,Clyde,13.63
2010,8,2010.58,Figure 4.12,Clyde,14.62
2010,9,2010.67,Figure 4.12,Clyde,14.81
2010,10,2010.75,Figure 4.12,Clyde,13.74
2010,11,2010.83,Figure 4.12,Clyde,11.71
2010,12,2010.92,Figure 4.12,Clyde,9.07
2011,1,2011.00,Figure 4.12,Clyde,7.45
2011,2,2011.08,Figure 4.12,Clyde,6.79
2011,3,2011.17,Figure 4.12,Clyde,7.13
2011,4,2011.25,Figure 4.12,Clyde,8.77
2011,5,2011.33,Figure 4.12,Clyde,10.45
2011,6,2011.42,Figure 4.12,Clyde,12.09
2011,7,2011.50,Figure 4.12,Clyde,14.39
2011,8,2011.58,Figure 4.12,Clyde,14.97
2011,9,2011.67,Figure 4.12,Clyde,14.58
2011,10,2011.75,Figure 4.12,Clyde,13.76
2011,11,2011.83,Figure 4.12,Clyde,12.60
2011,12,2011.92,Figure 4.12,Clyde,10.14
2012,1,2012.00,Figure 4.12,Clyde,8.03
2012,2,2012.08,Figure 4.12,Clyde,6.96
2012,3,2012.17,Figure 4.12,Clyde,7.63
2012,4,2012.25,Figure 4.12,Clyde,8.59
2012,5,2012.33,Figure 4.12,Clyde,9.92
2012,6,2012.42,Figure 4.12,Clyde,12.09
2012,7,2012.50,Figure 4.12,Clyde,13.53
2012,8,2012.58,Figure 4.12,Clyde,14.88
2012,9,2012.67,Figure 4.12,Clyde,14.46
2012,10,2012.75,Figure 4.12,Clyde,13.22
2012,11,2012.83,Figure 4.12,Clyde,11.51
2012,12,2012.92,Figure 4.12,Clyde,9.52
2013,1,2013.00,Figure 4.12,Clyde,7.89
2013,2,2013.08,Figure 4.12,Clyde,6.62
2013,3,2013.17,Figure 4.12,Clyde,6.09
2013,4,2013.25,Figure 4.12,Clyde,6.61
2013,5,2013.33,Figure 4.12,Clyde,8.55
2013,6,2013.42,Figure 4.12,Clyde,11.56
2013,7,2013.50,Figure 4.12,Clyde,14.09
2013,8,2013.58,Figure 4.12,Clyde,15.11
2013,9,2013.67,Figure 4.12,Clyde,14.34
2013,10,2013.75,Figure 4.12,Clyde,13.74
2013,11,2013.83,Figure 4.12,Clyde,11.90
2013,12,2013.92,Figure 4.12,Clyde,10.08
1997,1,1997.00,Figure 4.12,Minches and Malin Sea,8.43
1997,2,1997.08,Figure 4.12,Minches and Malin Sea,8.20
1997,3,1997.17,Figure 4.12,Minches and Malin Sea,8.22
1997,4,1997.25,Figure 4.12,Minches and Malin Sea,9.00
1997,5,1997.33,Figure 4.12,Minches and Malin Sea,10.17
1997,6,1997.42,Figure 4.12,Minches and Malin Sea,11.99
1997,7,1997.50,Figure 4.12,Minches and Malin Sea,13.44
1997,8,1997.58,Figure 4.12,Minches and Malin Sea,15.15
1997,9,1997.67,Figure 4.12,Minches and Malin Sea,14.02
1997,10,1997.75,Figure 4.12,Minches and Malin Sea,13.47
1997,11,1997.83,Figure 4.12,Minches and Malin Sea,12.35
1997,12,1997.92,Figure 4.12,Minches and Malin Sea,10.88
1998,1,1998.00,Figure 4.12,Minches and Malin Sea,9.65
1998,2,1998.08,Figure 4.12,Minches and Malin Sea,9.08
1998,3,1998.17,Figure 4.12,Minches and Malin Sea,8.86
1998,4,1998.25,Figure 4.12,Minches and Malin Sea,8.84
1998,5,1998.33,Figure 4.12,Minches and Malin Sea,10.35
1998,6,1998.42,Figure 4.12,Minches and Malin Sea,11.60
1998,7,1998.50,Figure 4.12,Minches and Malin Sea,13.08
1998,8,1998.58,Figure 4.12,Minches and Malin Sea,13.73
1998,9,1998.67,Figure 4.12,Minches and Malin Sea,14.06
1998,10,1998.75,Figure 4.12,Minches and Malin Sea,12.65
1998,11,1998.83,Figure 4.12,Minches and Malin Sea,10.90
1998,12,1998.92,Figure 4.12,Minches and Malin Sea,9.72
1999,1,1999.00,Figure 4.12,Minches and Malin Sea,8.64
1999,2,1999.08,Figure 4.12,Minches and Malin Sea,7.96
1999,3,1999.17,Figure 4.12,Minches and Malin Sea,7.84
1999,4,1999.25,Figure 4.12,Minches and Malin Sea,8.69
1999,5,1999.33,Figure 4.12,Minches and Malin Sea,10.19
1999,6,1999.42,Figure 4.12,Minches and Malin Sea,11.29
1999,7,1999.50,Figure 4.12,Minches and Malin Sea,13.70
1999,8,1999.58,Figure 4.12,Minches and Malin Sea,14.61
1999,9,1999.67,Figure 4.12,Minches and Malin Sea,13.96
1999,10,1999.75,Figure 4.12,Minches and Malin Sea,13.14
1999,11,1999.83,Figure 4.12,Minches and Malin Sea,11.80
1999,12,1999.92,Figure 4.12,Minches and Malin Sea,9.72
2000,1,2000.00,Figure 4.12,Minches and Malin Sea,8.47
2000,2,2000.08,Figure 4.12,Minches and Malin Sea,8.09
2000,3,2000.17,Figure 4.12,Minches and Malin Sea,8.22
2000,4,2000.25,Figure 4.12,Minches and Malin Sea,8.30
2000,5,2000.33,Figure 4.12,Minches and Malin Sea,10.23
2000,6,2000.42,Figure 4.12,Minches and Malin Sea,11.24
2000,7,2000.50,Figure 4.12,Minches and Malin Sea,13.01
2000,8,2000.58,Figure 4.12,Minches and Malin Sea,14.89
2000,9,2000.67,Figure 4.12,Minches and Malin Sea,14.46
2000,10,2000.75,Figure 4.12,Minches and Malin Sea,12.88
2000,11,2000.83,Figure 4.12,Minches and Malin Sea,10.91
2000,12,2000.92,Figure 4.12,Minches and Malin Sea,10.16
2001,1,2001.00,Figure 4.12,Minches and Malin Sea,8.90
2001,2,2001.08,Figure 4.12,Minches and Malin Sea,7.66
2001,3,2001.17,Figure 4.12,Minches and Malin Sea,7.41
2001,4,2001.25,Figure 4.12,Minches and Malin Sea,7.89
2001,5,2001.33,Figure 4.12,Minches and Malin Sea,10.11
2001,6,2001.42,Figure 4.12,Minches and Malin Sea,11.38
2001,7,2001.50,Figure 4.12,Minches and Malin Sea,13.16
2001,8,2001.58,Figure 4.12,Minches and Malin Sea,14.30
2001,9,2001.67,Figure 4.12,Minches and Malin Sea,13.82
2001,10,2001.75,Figure 4.12,Minches and Malin Sea,13.32
2001,11,2001.83,Figure 4.12,Minches and Malin Sea,11.94
2001,12,2001.92,Figure 4.12,Minches and Malin Sea,10.40
2002,1,2002.00,Figure 4.12,Minches and Malin Sea,9.27
2002,2,2002.08,Figure 4.12,Minches and Malin Sea,8.85
2002,3,2002.17,Figure 4.12,Minches and Malin Sea,8.44
2002,4,2002.25,Figure 4.12,Minches and Malin Sea,9.15
2002,5,2002.33,Figure 4.12,Minches and Malin Sea,10.32
